name,type,logo,description
Environmental Protection Agency (EPA),US Federal,example.com/image,The EPA is mandating the cleanup of the the lower 5 miles of the Duwamish River
National Oceanic and Atmospheric Administration (NOAA),US Federal,example.com/image,{{need}}
US Fish and Wildlife Service (USFW),US Federal,example.com/image,{{need}}
Army Corps of Engineers (ACE),US Federal,example.com/image,{{need}}
National Fish and Wildlife Foundation,US Federal,example.com/image,{{need}}
USDA Forest Service,US Federal,example.com/image,{{need}}
WA Dept. of Ecology (WA ECY),Washington State,example.com/image,{{need}}
WA Dept. of Natural Resources (WA DNR),Washington State,example.com/image,{{need}}
Puget Sound Partnership,Washington State,example.com/image,{{need}}
Salmon Recovery Funding Board,Washington State,example.com/image,{{need}}
WA Department of Health (fish advisory),Washington State,example.com/image,They are responsible for the fish advisory warnings
WA Dept. of Transportation,Washington State,example.com/image,{{need}}
Washington Recreation and Conservation Office (RCO),Washington State,example.com/image,{{need}}
Puget Sound Partnership,Washington State,example.com/image,{{need}}
WAG - Washington Advisory Group,Washington State,example.com/image,{{need}}
WA Dept. of Fish and Wildlife (fishing rules),Washington State,example.com/image,{{need}}
WA Noxious Weed Control Board,Washington State,example.com/image,{{need}}
Water Resource Inventory Area 9 (WRIA9),King County,example.com/image,{{need}}
King County Wastewater Treatment Division (WTD),King County,example.com/image,{{need}}
Puget Sound Clean Air Agency,King County,example.com/image,{{need}}
King County DNR and Parks and subdivision WLRD,King County,example.com/image,{{need}}
Watershed Advisory Group (WAG),King County,example.com/image,{{need}}
King County Conservation Futures Citizen Advisory Committee,King County,example.com/image,{{need}}
Port of Seattle,Municipal,example.com/image,{{need}}
City of Seattle,Municipal,example.com/image,{{need}}
City of Tukwila,Municipal,example.com/image,{{need}}
City of Auburn,Municipal,example.com/image,{{need}}
City of Kent,Municipal,example.com/image,{{need}}
City of Maple Valley,Municipal,example.com/image,{{need}}
City of Black Diamond,Municipal,example.com/image,{{need}}
Duwamish Tribe,Tribe,example.com/image,{{need}}
Muckleshoot Tribe,Tribe,example.com/image,{{need}}
Suquamish Tribe,Tribe,example.com/image,{{need}}
Manufacturing Industrial Council,Industry,example.com/image,{{need}}
Duwamish Transportation Association,Industry,example.com/image,{{need}}
SODO Business Improvement Assc.,Industry,example.com/image,{{need}}
Boeing,Industry,example.com/image,{{need}}
Longshoreman's union,Industry,example.com/image,{{need}}
Georgetown Merchants Association,Industry,example.com/image,{{need}}
Duwamish River Cleanup Coalition / Technical Advisory Group (DRCC/TAG),Nonprofit,example.com/image,{{need}}
Puget Soundkeeper,Nonprofit,example.com/image,{{need}}
Seattle Parks Foundation,Nonprofit,example.com/image,{{need}}
Just Health Action,Nonprofit,example.com/image,{{need}}
