title,description,marker-size,marker-color,marker-symbol,PROJECT_NAME,PROJECT_TYPE,PROJECT_TYPE_CODE,PROJECT_DESCRIPTION,LOCATION_LONGITUDE,LOCATION_LATITUDE,LOCATION_LINK,UPLOAD_PHOTO,DOC_LINK,ORGANIZATIONS,CONTACT_EMAIL,CONTACT_ORGANIZATION,CONTACT_PHONE,CONTACT_WEBSITE,SOCIAL_LINK,DATA_ENTRY_NAME,DATA_ENTRY_PHONE,PROJECT_DATE,END_DATE,DATE_NOTE
Duwamish Hill Preserve,"""<h2 style=""""text-align:left;"""">Duwamish Hill Preserve<br /></h2>
<span class='imgPusher' style='float:left;height:0px'></span><span style='position:relative;float:left;z-index:10;;clear:left;margin-top:16px;*margin-top:32px'><a><img class=""""wsite-image galleryImageBorder"""" src=""""http://forterra.org/wp-content/uploads/2015/05/Duwamish-Hill-Preserve-map-2015-550x585.jpg"""" style=""""margin-top: 5px; margin-bottom: 10px; margin-left: 0px; margin-right: 10px; none;"""" alt=""""Picture"""" /></a><div style=""""display: block; font-size: 90%; margin-top: -10px; margin-bottom: 10px; text-align: center;"""">Photo by Else Sargent</div></span>
<div class=""""paragraph"""" style=""""text-align:left;display:block;""""><br /><span></span><br /><font size=""""3"""">Join volunteers all along the  Duwamish River today as part of the larger Duwamish Alive! Celebration  to help restore this important waterway in the Tukwila/South Seattle  community.&nbsp; At this site, we'll focus on removing invasive weeds,  muching and preparation for the fall planting season.</font><br /><span style=""""""""></span><br /><br /><span style=""""""""></span><br /><span></span><font size=""""3"""">The Duwamish Hill Preserve is a 10.5 acre parcel of historical,  cultural and ecological significant land in Tukwila. Thanks to the  actions of many partners including the Friends of the Hill, Forterra and  City of Tukwila, the property was purchased in 2004 and has been in  active restoration ever since. The Duwamish Hill Preserve serves as an  outdoor classroom for students, a gathering place for restoration  volunteers, a culturally significant location for Native Americans and  an example of a successful partnership between community members and  public and private partners.<br /><span style=""""""""></span><br /><span style=""""""""></span><strong>  	Creation of the Preserve</strong>  	In 2001, Forterra, the City of Tukwila and local citizen group Friends  of the Hill formed a partnership to work towards the preservation of a  10.5 acre parcel slated for industrial development. The land was  successfully acquired in 2004 by the Forterra (then Cascade Land  Conservancy) and the City of Tukwila. In September 2010, after many  years of hard work by volunteers, the Duwamish Hill Preserve was  officially opened to the public. The preserve now includes an outdoor  classroom area, established trail and continued restoration  opportunities for volunteers. The Duwamish Hill Preserve is managed as a  public open space preserve dedicated to the conservation and  enhancement of its rich Native American cultural history, ecological  importance and community impact. Funding for acquisition and restoration  of this property has been supported by grants from many generous  contributors.<br /><span style=""""""""></span><strong><br /><span style=""""""""></span>  	Natural and Cultural History </strong> 	Due to its elevated position above the Duwamish River, the Hill offered  a vantage point from which Native Americans could watch for incoming  groups and communicate with fellow tribe members along the Duwamish  River Valley. Additionally, the Hill is associated with the southern  Puget Sound Salish oral tradition as the key location in the stories  collectively known as the &ldquo;Epic of the Winds.&rdquo;<br /><span style=""""""""></span><br /><span style=""""""""></span>  	The hill from which the preserve gets its name is a glacial remnant and  within the preserve many species of flora and fauna that are rarely  seen along the banks of the Duwamish River can be found.<br /><span style=""""""""></span><br /><span style=""""""""></span><strong>  	Restoration</strong>  	Thousands of volunteers have contributed countless hours of work  removing invasive weed and planting native trees and shrubs. The Friends  of the Hill make up a core group of dedicated volunteers that host  monthly restoration work parties at the Hill and offer local community  members a chance to contribute to the restoration of this amazing  preserve. For more information on when these restoration volunteer  opportunities take place, please visit our <a title="""""""" href=""""http://forterra.org/events"""">events page.</a> For more information or questions please email <a title="""""""" href=""""mailto:info@forterra.org"""">info@forterra.org.<br /></a><br /><span style=""""""""></span><br /><span style=""""""""></span>  	If you would like to learn more about getting a school or youth group involved please contact &nbsp;</font><br /><font size=""""3""""><span style=""""line-height: 24px;""""><br /></span></font><span style=""""line-height: 24px;""""><font size=""""4"""">Hayes Swinney&nbsp;</font></span><br /><span style=""""line-height: 24px;""""><font size=""""3"""">&nbsp; &nbsp; Email: </font><font size=""""4"""">hswinney@forterra.org</font><font size=""""3"""">&nbsp;</font></span><br /><span style=""""line-height: 24px;""""><font size=""""3"""">&nbsp; &nbsp; Phone:&nbsp;</font></span>206-905-6909 <br /><br /><br /><br /><br /><br /></div>""
",large,#1087bf,danger,Duwamish Hill Preserve,Tree planting and invasive species removal,9,"12.4 acre parcel of land, the Duwamish Hill Preserve, in Tukwila purchased and in active restoration since. Restoration included removal of invasive weeds and planting of native trees and shrubs.",-122.2857069969,47.5017791111,,http://forterra.org/wp-content/uploads/2015/05/Duwamish-Hill-Preserve-map-2015-550x585.jpg,,"Forterra, Friends of the Hill, City of Tukwila",email@example.com,UNLISTED,,http://forterra.org/subpage/duwamish-hill-preserve,https://www.facebook.com/ForterraNW/,Green Duwamish Watershed,555-555-5555,6/23/05,12/31/16,ongoing
Pigeon Point,"<h2 style=""text-align:left;"">                                    West Duwamish Greenbelt / Pigeon Point<br></h2>
<img src=""http://duwamishalive.org/uploads/3/3/0/4/3304643/2638019_orig.jpg"" alt=""West"">
<div class=""paragraph"" style=""text-align:left;display:block;""><font size=""4"">SW Genesee St & 20th Ave SW <br>Seattle, 98106<br><br>RESTORE OUR RIVER!<br> <br> The West Duwamish Greenbelt is a vital part of the Duwamish River  watershed because of the crucial habitat and the pollution-fighting  power the forest provides. <br> <br> EarthCorps  and Nature Consortium are joining forces again for the  Annual Duwamish  Alive Earth Day event at the West Duwamish Greenbelt/Pigeon Point Park.  Join us, the Green Seattle Partnership and a host of partners  and volunteers as we continue to restore the largest contiguous  greenbelt in Seattle.<br> <br> TO SIGN UP or for more information: email <a title="""" target=""_blank"" href=""mailto:volunteer@naturec.org""> volunteer@naturec.org</a><br><span style=""""></span><br></font><font size=""4""><strong>Contact: </strong><br>Lizzie Zemke, Nature Consortium </font><br><font size=""4"">Email: lizzie@naturec.org<br>Phone: 206.923.0853<br></font><br><br><span style=""""></span><span style=""""><span></span></span></div>
<hr style=""clear:both;visibility:hidden;width:100%;"">",large,#1087bf,park2,Pigeon Point,Tree planting and invasive species removal,9,"Pigeon Point Restoration: planting native vegetation, remove invasive species",-122.359294,47.570654,,http://westseattleblog.com/blog/wp-content/uploads/2010/04/pigeonsign.jpg,,The Nature Consortium,email@example.com,UNLISTED,,http://naturec.org,https://www.facebook.com/naturec/,Green Duwamish Watershed,555-555-5555,12/31/12,12/31/16,ongoing
Point Heyer Driftcell,"<h1>Point Heyer Driftcell</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/10252"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Point Heyer Driftcell,River/stream/wetlands restoration/conservation/flood protection,7,"This project will protect shorleine parcels through acquisition within the Pt. Heyer drift cell to assist in the recovery of salmonids and other important fish resources.  This drift system is among the most intact drift cells in the WRIA 9 Marine Nearshore Sub-basin.  It measures 2.2 miles in length and is characterized by minimal modifications and an eroding bluff backed beach.  Bluffs account for over 50% of this shorelines.  The backshore contains dense, mature native riparian vegetation.  Juvenile chinook, chum, coho, cutthroat, pink, sockeye and steelhead are known to be present along the eastern shoreline and termines along the large spit near the marsh inlet at Point Heyer.  Other important nearshore resources include a surf smelt spawning beach, and eelgrass, kelp and ulva along the intertidal/subtidal area. The tidal lagoon serves an important function in providing feeding, rearing and cover for migrating juvenile salmon.  This phase of the project focuses on shoreline throughout the drift cell, with the highest priority parcels being those with feeder bluffs. 
",-122.43718862,47.4360847252,,,,"WRIA 9 Lead Entity, King County Conservation Futures, Private Landowner(s), King County Parks Levy, Greg Rabourn, Aquatic Lands Enhancement Account, King Co Water & Land Res, King County - WLRD - Vashon-Maury Island Steward, King Conservation District, Estuary Salmon Restoration Program (ESRP), SRFB - Salmon Recovery Funding Board",email@example.com,King County - WLRD - Vashon-Maury Island Steward,,http://waconnect.paladinpanoramic.com/project/250/10252,,Green Duwamish Watershed,555-555-5555,1/1/03,12/1/10,
Duwamish Gardens Shallow Water Habitat Creation at RM 7.0 DUW-1,"<h1>Duwamish Gardens Shallow Water Habitat Creation at RM 7.0 DUW-1</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/12003"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Duwamish Gardens Shallow Water Habitat Creation at RM 7.0 DUW-1,River/stream/wetlands restoration/conservation/flood protection,7,"This project is one part of a multi-phase effort to create 20 acres of restored or new shallow water habitat between RM 7.0-5.5 along both banks (DUW-7). Additional locations will require restoration (i.e., through later phases) to achive the goal of DUW-7. The desired habitat is off-channel shallow-water/marsh habitat with associated riparian vegetation. ",-122.2896,47.5012,,,,"WRIA 9 Lead Entity, King County Conservation Futures, Aquatic Lands Enhancement Account, King Co Water & Land Res, King Conservation District, Estuary Salmon Restoration Program (ESRP), City of Tukwila, SRFB - Salmon Recovery Funding Board",email@example.com,City of Tukwila,,http://waconnect.paladinpanoramic.com/project/250/12003,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Feeder Bluff Protection Acquisition (Beaconsfield), NS-11","<h1>Feeder Bluff Protection Acquisition (Beaconsfield), NS-11</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/14851"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,"Feeder Bluff Protection Acquisition (Beaconsfield), NS-11",River/stream/wetlands restoration/conservation/flood protection,7,"This project includes the purchase and restoration of one of the major privately-held undeveloped feeder bluffs along the mainland marine shoreline.  The project is located just north of Marine View Park in Normandy Park.  The bluff is approximately 1,000 feet long and is made up of 27 separate parcels, totaling 13.5 acres.  Three of the 27 parcels are already in public ownership (two owned by King County and one by the City of Normandy Park).  While the upland is not developed, there is a bulkhead along 80% of the shoreline of the bluff.  Once the parcels are purchased, the bulkhead would be removed to allow for natural sediment beach feeding processes to occur.  The restoration phase of this project is designated as a separate project, 09-NS-011B.",-122.3461922141,47.4152280033,,,,"Puget Sound Acquisition and Restoration, Washington Department of Fish and Wildlife (WDFW), King Conservation District, Forterra, SRFB - Salmon Recovery Funding Board, City of Burien",email@example.com,Forterra,,http://waconnect.paladinpanoramic.com/project/250/14851,,Green Duwamish Watershed,555-555-5555,1/1/06,12/31/12,
Seahurst Park South Shoreline Restoration NS-5,"<h1>Seahurst Park South Shoreline Restoration NS-5</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/14857"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Seahurst Park South Shoreline Restoration NS-5,"Water access, trails, recreation, parks, open space",11,"This project completed the initial phase of restoration along the southern portion of Seahurst Park in Burien by removing approximately 3,000 feet of shoreline armoring, restoring natural beach slopes, adding riparian vegetation, and connecting riparian vegetation and sediment supply to the aquatic portion of nearshore.  A subsequent Phase II along the north shoreline would add to this successful phase of seawall removal/beach restoration conducted in 2004-2005.",-122.3606533727,47.4834639416,,,,"WRIA 9 Lead Entity, US Army Corps of Engineers (USACE), NOAA Fisheries Restoration Center, Aquatic Lands Enhancement Account, Steve Roemer, Land and Water Conservation Fund, King Conservation District, SRFB - Salmon Recovery Funding Board, City of Burien",email@example.com,"WRIA 9 Lead Entity, US Army Corps of Engineers (USACE), NOAA Fisheries Restoration Center, Aquatic Lands Enhancement Account, Steve Roemer, Land and Water Conservation Fund, King Conservation District, SRFB - Salmon Recovery Funding Board, City of Burien",,http://waconnect.paladinpanoramic.com/project/250/14857,,Green Duwamish Watershed,555-555-5555,1/1/03,12/31/18,
Piner Point Bulkhead Removal NS-17,"<h1>Piner Point Bulkhead Removal NS-17</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/15796"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Piner Point Bulkhead Removal NS-17,River/stream/wetlands restoration/conservation/flood protection,7,"The Piner Point Natural Area contains a total of 7.76 acres of marine nearshore with coastal bluff backed beach and mature riparian vegetation along the majority of the preservation shoreline. The area also includes six combined shoreline properties, protecting over 1500 lineal feet of ecologically valuable nearshore which lies adjacent to the WA State Maury Island Aquatic Reserve. The Piner Point shoreline provides sediment supply and beach nourishment that extends over seven miles down shore to Point Robinson (northeastern tip of Maury Island).",-122.4536,47.3455,,,,"WRIA 9 Lead Entity, King Co Water & Land Res, King Conservation District, Greg Rabourn, King County - WLRD - Vashon-Maury Island Steward",email@example.com,King County - WLRD - Vashon-Maury Island Steward,,http://waconnect.paladinpanoramic.com/project/250/15796,,Green Duwamish Watershed,555-555-5555,1/1/10,12/31/10,
"Fenster Levee Removal and Setback, MG-18","<h1>Fenster Levee Removal and Setback, MG-18</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/15803"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,"Fenster Levee Removal and Setback, MG-18",River/stream/wetlands restoration/conservation/flood protection,7,"Fenster Levee Removal and Setback, MG-18",-122.199035883,47.3045113699,,,,"SRFB - Salmon Recovery Funding Board, City of Auburn, King County - WLRD - Green River Basin Steward",email@example.com,King County - WLRD - Green River Basin Steward,,http://waconnect.paladinpanoramic.com/project/250/15803,,Green Duwamish Watershed,555-555-5555,1/1/16,1/1/17,
Codiga Park Riparian Corridor Enhancement,"<h1>Codiga Park Riparian Corridor Enhancement</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16930"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Codiga Park Riparian Corridor Enhancement,River/stream/wetlands restoration/conservation/flood protection,7,"Codiga Farms Park is located on the east bank of the Duwamish River, off 50th Place South at the foot of the S 129th Street overpass of I-5. This project improves a riparian corridor of Codiga Park for juvenile Chinook salmon habitat. The riparian area is approximately 2 acres and 1,000 linear feet. This area was cleared of invasive plant species in phases from 2008-2010 with the help of community volunteers and EarthCorps crews under People For Puget Sound's management. The area is currently being maintained and monitored by volunteers called Puget Sound Stewards who are managed by EarthCorps. Ongoing maintenance and monitoring of the still young native plants is anticipated for the next 5 years at minimum as long as there is funding and landowner support.",-122.2703,47.4892,,,,"Nat Fish & Wildlife Foundation, People for Puget Sound, NOAA , City of Tukwila, SRFB - Salmon Recovery Funding Board, Earth Corps",email@example.com,City of Tukwila,,http://waconnect.paladinpanoramic.com/project/250/16930,,Green Duwamish Watershed,555-555-5555,1/1/01,1/1/01,
Salmon-Safe Puget Sound: WRIA 9,"<h1>Salmon-Safe Puget Sound: WRIA 9</h1><iframe src=""http://waconnect.paladinpanoramic.com/project/250/16942"" width=""100%"" height=""750""</iframe>",large,#1087bf,industrial,Salmon-Safe Puget Sound: WRIA 9,River/stream/wetlands restoration/conservation/flood protection,7,"Salmon-Safe Puget Sound WRIA 9 was a focused effort to accelerate private lands salmon recovery efforts in the Green/Duwamish and central Puget Sound watersheds.  This project conducted outreach to more than 100 corporate and institutional landowners in the region with high level Salmon-Safe participation at ten significant sites, most notably at newly certified REI's headquarters campus in Kent and its distribution center in Sumner, with other projects in the pre-assessment process including Safeco Field, and Boeing's Kent Space Center.  The project also delivered unanticipated outcomes including a new Salmon-Safe program for municipalities that is not working with the cities of Bothell and Sumner, as well as partnering with projects in WRIA 8.",-122.2252780526,47.2161668498,,,,"SRFB - Salmon Recovery Funding Board, Stewardship Partners, Nat Fish & Wildlife Foundation, Network for Business Innovation and Sustainability (NBIS)",email@example.com,Nat Fish & Wildlife Foundation,,http://waconnect.paladinpanoramic.com/project/250/16942,,Green Duwamish Watershed,555-555-5555,5/1/07,12/31/11,
